Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.14,65.32,3.69,1.81,0.39,22.11,1.82,92.69,2.5,1.39,50.62,25.24,7.38,11.23,25.98,26.48,1220,0.33,0.35,0.33
,,,,,,,,,,,,,,,,,,,
4.99,65.66,3.66,1.79,0.31,21.91,2.24,94.18,2.53,1.36,52.87,22.98,7.03,11.14,25.2,25.87,1230,0.33,0.33,0.32
,,,,,,,,,,,,,,,,,,,
5.07,65.92,3.71,1.74,0.33,21,2.88,97.96,2.39,1.37,57.63,16.78,7.16,11.29,25.61,26.19,1250,0.32,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.81,65.21,3.73,1.7,0.32,20.84,3.42,97.99,2.44,1.29,55.47,17.94,6.44,11.35,24.22,25.42,1240,0.31,0.32,0.32
,,,,,,,,,,,,,,,,,,,
5.13,65.93,3.71,1.78,0.33,21.29,2.97,96.7,2.41,1.38,54.69,19.82,7.32,11.29,25.92,26.41,1220,0.28,0.33,0.32
,,,,,,,,,,,,,,,,,,,
5.1,65.47,3.7,1.75,0.4,22.04,2.24,93.21,2.5,1.38,50.31,25.28,7.25,11.26,25.77,26.34,1220,0.26,0.34,0.33
,,,,,,,,,,,,,,,,,,,
5,65.63,3.66,1.78,0.28,22.02,2.52,93.71,2.54,1.37,50.7,24.92,7.06,11.14,25.25,25.86,1230,0.31,0.33,0.33
,,,,,,,,,,,,,,,,,,,
